"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"alpha",0.148146796708908,0.00102775753317657,0.0523351745352515,0.0491017451613274,0.112074556710823,0.146753976415865,0.182691348918422,0.254136643504254,2593.02089421865,0.99968155542464
"beta",0.0388225350828762,7.81121787235218e-05,0.00396630573126246,0.0308321467841718,0.0361993212165349,0.0389385000250102,0.0415566629679761,0.0463778818253303,2578.30845126561,0.999694883209393
"gamma",0.000180140398090543,1.45982284191232e-06,7.44021712969605e-05,2.55431457886041e-05,0.000131671096874592,0.00018330603581715,0.000229300119964171,0.000322729774011331,2597.59183272176,0.999371652893055
"sigma",0.0117776933949326,2.61034220524768e-05,0.0014570763253858,0.00936124962335378,0.0107335093008008,0.0116590203449515,0.0127074286948664,0.014871038695461,3115.80100472559,1.00012940020225
"lp__",82.0024263636633,0.216107808590952,6.81661254149039,67.8124446086763,77.5795557910814,82.3116553827298,86.7143805219653,94.4629599742114,994.938644327424,1.00562171196178
