"","Sample","D47","D47error","meanTemp","error"
"1",1,0.681,0.008,-3.30517432400866,0.347105256069553
"2",2,0.684,0.008,-4.08165795182517,0.358916406372764
"3",3,0.676,0.004,-2.04909819539808,0.316158284170963
"4",4,0.682,0.008,-3.56627184403368,0.357429378180893
"5",5,0.671,0.006,-0.740770817226766,0.362485561574041
"6",6,0.677,0.006,-2.31746974329147,0.342395495579147
"7",7,0.673,0.006,-1.27877309868513,0.3244862888189
"8",8,0.661,0.009,1.89943271333383,0.394517875379995
"9",9,0.646,0.009,6.01269321267769,0.41412332825802
"10",10,0.657611524776784,0.0101488637502819,2.80260892089928,0.407164629756397
"11",11,0.655,0.006,3.51425827979335,0.375869141236013
"12",12,0.649094141951032,0.00679565885344525,5.140208458241,0.376768253820129
"13",13,0.65480700769351,0.00623805029962956,3.56513285425934,0.370826063266907
"14",14,0.649,0.007,5.16411930978279,0.352305120211531
"15",15,0.649733286163514,0.00528199320075591,4.96460634672474,0.36267243904867
"16",16,0.651,0.006,4.6199196162488,0.37216325671327
"17",17,0.65,0.006,4.88139451893799,0.348031270417836
"18",18,0.644,0.004,6.56407211373449,0.327506293178355
"19",19,0.646,0.004,6.01421888470025,0.355185605506766
"20",20,0.652,0.004,4.33977090843365,0.355695064227835
"21",21,0.648,0.005,5.45500341043608,0.375376828386129
"22",22,0.657,0.008,2.9797057399492,0.38844105734414
"23",23,0.649,0.005,5.17431600783785,0.381248244289659
"24",24,0.659,0.004,2.4289928858725,0.342152582863759
"25",25,0.66,0.004,2.15401336671155,0.326746211153263
"26",26,0.661127331826309,0.0062713709882038,1.85338106445837,0.366368326648248
"27",27,0.654,0.004,3.77837760834776,0.343597237178088
"28",28,0.64,0.005,7.71358448875563,0.387566604493238
"29",29,0.642,0.003,7.13829743567795,0.337807762459888
"30",30,0.639,0.005,7.98488115055763,0.368301283961895
"31",31,0.646,0.004,6.01087254742718,0.344770860734306
"32",32,0.65,0.004,4.8954075175784,0.325331102783925
"33",33,0.642,0.004,7.12457711085166,0.36172142229907
"34",34,0.645,0.006,6.28477267190362,0.341145628070487
"35",35,0.655,0.004,3.50569590448258,0.325401160796858
"36",36,0.646,0.004,6.00756276862864,0.358221734300321
"37",37,0.641,0.006,7.42752136013241,0.374041501595945
"38",38,0.638,0.005,8.27235665417259,0.361616324996059
"39",39,0.647,0.004,5.73172841004063,0.345494611195323
"40",40,0.646,0.004,6.01530163761805,0.342432548604924
"41",41,0.64,0.004,7.70142120085596,0.368272838372891
"42",42,0.663,0.007,1.36134283543194,0.366373083336933
"43",43,0.636,0.005,8.83800892778625,0.369321219867338
"44",44,0.639051610385429,0.00476171288173212,7.99191283628957,0.361662597269876
"45",45,0.635,0.006,9.13777042203898,0.380321644644119
"46",46,0.635,0.008,9.13331307188007,0.393695890381471
"47",47,0.633,0.007,9.71478820898403,0.415050621533132
"48",48,0.638942264462639,0.00467249456030069,8.01197715678181,0.3881898527325
"49",49,0.612,0.007,16.0680743155938,0.426465018879216
"50",50,0.628,0.008,11.2013142355287,0.462735440396995
"51",51,0.617,0.007,14.523392725224,0.407611113079038
"52",52,0.614,0.006,15.4347817158899,0.436649976744306
"53",53,0.641,0.007,7.42571855923353,0.401849425675831
"54",54,0.64547619047619,0.0067512323557996,6.13522834287258,0.377588992848304
"55",55,0.633,0.009,9.72441905326821,0.430990440010082
"56",56,0.636107142857143,0.00443093361646616,8.82935303276251,0.366365203184457
"57",57,0.628107142857143,0.00449730645010127,11.1754203867024,0.39746384670798
"58",58,0.614,0.007,15.4402387340083,0.440870724768832
"59",59,0.619,0.008,13.9085391057603,0.431601515065587
"60",60,0.631,0.01,10.299373418003,0.447743599377633
"61",61,0.626,0.008,11.7796870439847,0.435659801679627
"62",62,0.644,0.005,6.57944651787744,0.34945238448403
"63",63,0.642,0.011,7.12937061954625,0.439966057753153
